protein,n_present,mean_abundance
P21338,0,NA
P21367,0,NA
P21499,0,NA
P21507,0,NA
P21513,0,NA
P21599,0,NA
P21645,0,NA
P21888,0,NA
P21889,0,NA
P21926,3,3812203.3333333335
P21964,8,25600050
P21980,8,354927750
P22079,8,259488375
P22106,0,NA
P22186,0,NA
P22188,0,NA
P22255,0,NA
P22256,0,NA
P22259,0,NA
P22314,8,68399912.5
P22333,0,NA
P22352,8,22623400
P22523,0,NA
P22524,0,NA
P22528,8,63401775
P22626,5,18058880
P22939,0,NA
P23200,0,NA
P23331,0,NA
P23367,0,NA
P23522,0,NA
P23524,0,NA
P23526,8,73767112.5
P23528,8,129287512.5
P23538,0,NA
P23721,0,NA
P23827,0,NA
P23830,0,NA
P23836,0,NA
P23839,0,NA
P23843,0,NA
P23847,0,NA
P23857,0,NA
P23865,0,NA
P23869,0,NA
P23882,0,NA
P23883,0,NA
P23893,0,NA
P23908,0,NA
P23909,0,NA
P23917,0,NA
P24171,0,NA
P24182,0,NA
P24186,0,NA
P24202,0,NA
P24203,0,NA
P24215,0,NA
P24255,0,NA
P25311,8,18815087500
P25437,0,NA
P25516,0,NA
P25519,0,NA
P25522,0,NA
P25526,0,NA
P25536,0,NA
P25539,0,NA
P25552,0,NA
P25553,0,NA
P25705,0,NA
P25714,0,NA
P25738,0,NA
P25745,0,NA
P25774,7,7128141.428571428
P25786,7,23621057.14285714
P25787,3,4252726.666666667
P25789,1,22990900
P25894,0,NA
P25906,0,NA
P26447,8,1617402500
P26612,0,NA
P26616,0,NA
P26646,0,NA
P27248,0,NA
P27250,0,NA
P27298,0,NA
P27302,0,NA
P27306,0,NA
P27348,8,53696730
P27431,0,NA
P27434,0,NA
P27482,8,11308667.5
P27487,7,14482600
P27550,0,NA
P27797,8,39848762.5
P27824,8,11155926.25
P27829,0,NA
P27833,0,NA
P28304,0,NA
P28325,8,40956825
P28838,6,27203150
P28904,0,NA
P29012,0,NA
P29217,0,NA
P29401,8,85024237.5
P29622,8,8125145
P29680,0,NA
P29745,0,NA
P30011,0,NA
P30041,8,680171875
P30043,8,16607287.5
P30044,8,824715125
P30046,7,9317614.285714285
P30085,8,230657250
P30086,8,323316250
P30101,8,52418575
