protein,n_present,mean_abundance
G3V3A0,273,140461.63807270204
G3XAK1,282,17927.370189477366
G3XAP6,284,12475.21060610489
H0Y2P0,188,20174.766212301052
H0Y512,247,3381.699984531171
H0YAC1,287,57000.02884347098
H0YG79,234,35452.450822324834
H0YH81,78,4664.377919722826
H0YJV2,208,125807.90641432542
H3BM38,138,2441.080195883046
H3BR66,221,3056.155930152306
H3BRY5,89,1956.0196372900116
H7BXY5,75,4841.417409261067
H7BY64,162,1650.142834039382
H7BYT7,62,40394.26144999843
H7BYY1,175,6743.033875732422
H7C3F9,34,991.7963831284467
I3L145,281,21774.76261076469
I3L3H7,105,1975.4771840413412
I3L4N8,287,246909.93686455383
J3KNB4,255,7062.078766108494
J3KPA1,275,9065.325874689275
J3KPS3,262,18137.12401365324
J3KRA9,35,4149.714095633371
J3QQR8,251,6224.717443093836
J3QRS3,226,21784.913226203582
K7EK77,66,3197.6542654326468
K7EL10,105,3537.8842639741442
K7ELL7,137,3683.7021602435702
K7EMZ7,219,8426.026205054157
K7ENJ5,29,9888.402800461341
K7EP67,14,4373.349830627441
K7ER74,287,431257.40007077524
K7ERI9,287,290745.27058607363
M0QZH1,279,25899.61077585528
O00151,223,7423.9974725150205
O00299,211,9409.961566943128
O00391,287,29438.821542773097
O00592,146,5402.691912089309
O15145,128,7842.503361672163
O15204,91,1544.0314554067759
O15511,117,5311.644552638388
O43866,286,142938.71403620794
O75093,150,21853.118557942707
O75636,287,55319.74444516278
O75762,176,6244.332332090898
O75882,287,68031.59471284554
O94919,51,825.3543442370844
O95445,287,216226.68631587544
O95497,249,15888.406283949274
O95810,219,5564.743381238964
O96011,141,10817.160952087836
P00338,219,3190.268013453375
P00450,287,1531059.5621869555
P00488,285,18176.421721662555
P00558,87,1929.3573400097332
P00734,287,1027459.4882948606
P00738,287,858166.7258836699
P00739,240,17771.9612294515
P00740,280,17214.231753322056
P00742,287,63472.150555653854
P00915,183,6158.500100724684
P00918,111,3804.297003668708
P01008,287,842710.6775642422
P01009,248,12622.080174353814
P01011,287,301254.5918240963
P01023,286,572272.8320141772
P01024,287,2183651.7728658537
P01033,129,9135.20018301084
P01034,287,38726.27468032039
P01042,287,957829.986933798
P01344,285,14785.677192768298
P01591,275,119022.46938143643
P01597,72,9308.361802842883
P01599,123,5752.722576606564
P01601,72,5838.992501576741
P01602,209,29525.243074992057
P01619,283,97873.01829286177
P01699,165,12246.571688935252
P01700,179,25263.541798682185
P01701,168,17831.844866071428
P01703,101,10091.348288356668
P01704,74,6963.113424765097
P01706,153,4167.286387823766
P01709,52,25556.114318847656
P01714,126,8588.298579140315
P01766,29,2365.8460988011852
P01768,206,13583.409170687777
P01780,230,15068.012222422723
P01833,83,581.7281883883189
P01834,288,506535.0186979506
P01857,287,1098417.3402095356
P01859,286,482814.8494966947
P01861,242,32726.94689493731
P01871,283,734464.1420950199
P01876,288,1289537.678838094
P02647,287,9639431.834930314
P02649,287,625516.4385616289
P02652,287,4561240.845383275
P02671,287,589413.801926244
P02675,285,1451428.592872807
P02679,284,543875.777498487
P02741,79,15310.78624522535
P02743,287,174023.49475990853
P02745,285,49058.09693153783
P02747,287,408319.7573701546
P02749,287,1085894.8849085367
P02750,287,705092.4089449042
P02751,287,331630.55016366777
P02753,287,317447.92983041157
P02760,287,510393.07701573387
P02763,287,176001.72156782515
P02765,287,1946997.7173344947
P02768,288,27670308.82562934
P02774,287,3140489.3246406796
P02787,287,209983.60986157993
P02790,287,2970705.2099303138
P02792,163,16657.327357005488
P02808,11,117357.61360307173
P03950,256,7285.848324179649
P03951,284,10838.765290811029
P04003,287,439414.39892067725
P04004,287,588053.7292710148
P04040,103,2740.14254257054
P04180,287,29179.154438935922
P04181,119,22735.92657162963
P04196,287,222921.19782025806
P04217,287,1407699.489492596
P04264,69,14460.162012072577
P04275,248,16895.96214614376
P04430,93,4387.181350872081
P05019,262,8695.89128602006
P05090,287,447961.8566937064
P05106,218,12124.173789768043
P05109,201,4642.248448917522
P05154,287,33937.30561562781
P05160,285,25426.414781215735
P05204,1,1485.78076171875
P05362,203,2164.575591528944
P05543,287,83724.095242065
P05546,287,308538.8678408101
P06276,287,50993.45135519314
P06310,176,6702.0999712077055
P06312,278,41364.748781053284
P06396,287,562430.8518755444
P06681,287,31000.19739173597
P06702,273,3541.5884489681257
P06727,287,1182873.79643946
P06732,52,6258.670570080097
P06733,174,4384.329470404263
P07359,286,27202.22059129835
P07360,287,82662.6397849691
P07437,238,12481.869622238544
P07602,155,4370.752513270224
P07737,234,27430.022751636996
P07996,267,63401.404430375114
P07998,226,2822.033056208518
P08185,287,85691.42127953506
P08294,273,6566.069391159785
P08493,238,11566.497599369337
P08514,220,11658.178224125775
P08519,272,132127.10639056037
P08567,162,5749.474969181014
P08571,286,19510.264726972247
P08697,287,345568.5363267639
P09172,266,7745.758913197912
P09211,116,3138.6153028422386
P09871,287,254560.07779834495
P0C0L5,287,533017.4363567074
P0DJI8,284,26061.002062730386
P0DJI9,272,13129.547323395223
P0DOY2,286,221337.12586686996
P0DOY3,140,4326.788433429173
P0DP23,205,9339.828849531965
P10124,148,6947.40524601292
P10412,3,4064.8885294596353
P10643,287,44520.721471700104
P10646,132,5345.951221581661
P10720,63,1444.94603402274
P10909,287,550436.7131968641
P11021,280,6396.825531441825
P11142,198,3632.797125614051
P11169,113,2959.1253281314816
P11226,260,45208.12449129545
P11597,242,5418.216577703302
P12111,122,2318.6236942478868
P13224,225,14083.340712009007
P13671,287,124528.31488696374
P13796,280,9950.302146475655
P14151,286,27545.792983261854
P14174,81,2805.2877140751593
P14209,63,565.901551999743
P14770,177,6213.512395567813
P15144,217,2171.807439004221
P15169,287,73779.46508533863
P16401,2,1243.2013473510742
P18065,199,3375.3554032675584
P18206,249,13487.387286940731
P18428,257,10830.571472167969
P19320,222,6431.053829433682
P19652,287,90536.31807099984
P19823,287,916029.4503484321
P19827,287,233877.20272688917
P20742,190,46050.68704255757
P20774,83,1249.6412515353009
P20851,287,142649.0257445013
P21333,246,36691.164422260066
P22352,286,54216.30524535279
P22692,270,8019.748217095269
P22792,287,73523.43903970219
P22891,277,22435.445291347023
P23142,287,52611.89472520144
P23470,139,1555.6757933253007
P23528,245,19169.673199089208
P24592,283,9264.76808031709
P24593,238,3404.103675137047
P24844,163,8752.769019378475
P25311,287,893305.4363567074
P26447,250,6000.190288452149
P27105,181,3886.397999315631
P27169,287,163798.59820237642
P27918,287,84394.67913286695
P29622,287,56648.53034489329
P30041,158,2525.1386597065984
P31146,149,7530.200478880198
P32119,111,1971.6548855068447
P33151,281,8874.83821665265
P33908,203,1914.9716304241142
P35527,74,3159.90901204702
P35858,287,135033.99722173074
P36222,29,1984.251682676118
P36955,287,152416.83951028963
P37802,258,20114.933203172313
P40197,159,3257.78976776315
P41222,282,8780.67829278175
P42356,20,550.5754723548889
P43121,262,6177.4976986018755
P43251,287,43565.56532803313
P43652,287,617673.8537402004
P48059,178,10564.463701226738
P48735,33,2312.0995520389442
P48740,266,9285.014173923579
P50552,187,8886.94713865882
P51884,287,131737.45065467118
P52907,113,6436.426171766973
P55056,282,27122.924548426417
P55058,255,30330.684928744446
P55103,274,4152.306268845161
P55145,10,1362.1438232421874
P55290,278,7542.30165550177
P59665,203,5658.522027452591
P60174,178,18378.052690655997
P61160,34,2204.5532118853403
P61224,196,5460.4828187592175
P61626,287,15532.231393421984
P61769,281,12075.105038137199
P61981,97,2608.292252688064
P62328,276,146644.39170638376
P62937,230,7192.848120117187
P63104,266,23002.90212932386
P67936,253,21287.617492434536
P68363,238,17817.94646139706
P68366,184,6524.438037043033
P68371,155,9828.985067256805
P68871,288,135892.00613149008
P69905,287,79933.2330539185
P78417,184,9412.333160151606
P80108,287,35055.59200145974
P80723,67,728.9602037116663
P80748,88,4323.648162668402
P81605,77,6738.369287267908
P98160,244,9727.65072631836
Q01459,135,3955.689663357205
Q01518,161,50051.065044142444
Q01968,40,2000.1038612365724
Q03591,287,83780.8814463333
Q04756,286,20888.893222195285
Q04917,74,2672.6825716173325
Q07954,73,1215.858153460777
Q08380,287,36307.05571255036
Q08495,66,4682.646107066761
Q08830,58,1634.787199349239
Q12805,286,11267.660707273684
Q12841,145,2453.9136007900897
Q12860,141,6379.659240770002
Q12923,60,3363.958225250244
Q13029,104,2824.5005387526294
Q13093,228,2867.853531151487
Q13201,233,8832.57737633701
Q13740,121,2175.9191133246936
Q13790,287,163392.6606504859
Q14247,83,5353.272248601339
Q14515,174,6141.52480816019
Q14520,287,34822.172908557004
Q14571,123,80284.42073071488
Q14624,287,168187.2925859511
Q15075,112,5731.621107601693
Q15084,68,1482.5194975909064
Q15113,212,3005.361106368731
Q15166,246,5403.288346701521
Q15404,137,6201.114800000712
Q15485,229,5206.793236211918
Q15582,262,6284.895704662526
Q15691,30,2289.40206451416
Q15848,273,15992.681473616716
Q15942,239,17067.774657181617
Q16270,180,2228.5261948479547
Q16610,287,76360.92854590864
Q16853,133,1445.8691056330401
Q32P28,224,222516.53173828125
Q5SZK8,265,9539.432497881044
Q5T0I0,112,6983.730055127825
Q5T123,166,4282.268653869629
Q5VZR0,54,836.7857869466146
Q6EMK4,287,11344.74153780522
Q6RI45,102,6201.993709788603
Q6UX71,237,4593.256322611233
Q6UXB8,281,10826.891985367201
Q6ZN16,2,1943.7816772460938
Q76LX8,241,6244.630145314323
Q7Z5P4,229,9436.322105307767
Q86UD1,191,3087.8413983889277
Q86YS3,4,1139.7656326293945
Q86YW5,31,1520.1033067703247
Q8TAY7,69,8184.711506498033
Q92496,233,17818.621437170987
Q92686,151,12153.013169446529
Q92954,284,14129.149838299818
Q96DY7,13,762.157766012045
Q96KN2,285,15180.810177237527
Q96L91,30,1121.6402399698893
Q96MC2,113,23104.52209121569
Q96N23,92,3365.0798366380773
Q96PD5,287,70453.68758336508
Q96QR1,48,1537.5895239512126
Q96RD7,205,17040.60939048209
Q99459,200,41665.63270263672
Q99969,150,1675.213310546875
Q9BR76,43,1350.4287748115007
Q9BUN1,123,997.3547079815128
Q9BWP8,270,3926.77575084545
Q9BZL3,175,22161.678563406807
Q9H0U9,259,25652.355278339164
Q9H4B7,220,8908.774318903143
Q9H8L6,221,4416.045445645017
Q9HBI1,180,6184.574665917291
Q9HCU0,73,1106.584947350907
Q9NPH3,259,8707.689803370178
Q9NPY3,242,6062.744257146662
Q9NQ38,30,2569.2563364664716
Q9NQC3,54,4416.172282466182
Q9NRC6,239,4522.639019954155
Q9NY97,57,437.9831066466214
Q9NZN3,25,885.3459954833984
Q9NZP8,287,26400.21084116228
Q9UBW5,165,3709.130385150331
Q9UGM5,287,54537.605935764645
Q9UHG3,177,4627.579283288644
Q9UL59,20,7772.7630020141605
Q9UNN8,249,15438.725403812516
Q9UNW1,245,12335.19839882364
Q9Y3T9,234,9978.566930787176
Q9Y490,246,38481.523301039284
Q9Y5C1,81,2095.304747781636
Q9Y5Y7,275,7448.741256436435
Q9Y6Z7,202,4250.963074636931
